"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count (estimate)","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"Rapid7","RPD","$39.81","$2,516,000,000","Sep 2024","$214,650,000","$858,600,000","7.95%","2.93","63,200,201","2015","2000","Alan Matthews, Tas Giakouminakis","Boston, Massachusetts, United States","$25,490,000","$101,960,000","33.05%","11.88%","$16,550,000","$66,200,000","121.61%","7.71%","$443,690,000","37.72%","Bain Capital Ventures, Technology Crossover Ventures","N/A","1900","$451,900","Cybersecurity solutions, including vulnerability management, incident detection and response, and security analytics","","","http://www.rapid7.com","http://investors.rapid7.com","https://www.sec.gov/Archives/edgar/data/1560327/000119312515220243/d908531ds1.htm","https://www.sec.gov/Archives/edgar/data/1560327/000156032724000021/rp-20231231.htm"
"RingCentral","RNG","$36.99","$3,329,000,000","Sep 2024","$608,760,000","$2,435,040,000","9.07%","1.37","89,997,297","2013","1999","Vlad Shmunis","Belmont, California, United States","$62,720,000","$250,880,000","564.69%","10.30%","-$7,850,000","-$31,400,000","81.35%","-1.29%","$212,650,000","-50.82%","Sequoia Capital, Khosla Ventures","N/A","4000","$608,800","Cloud-based communication and collaboration solutions, including voice, video, messaging, and contact center services.","","","http://www.ringcentral.com","http://ir.ringcentral.com","https://www.sec.gov/Archives/edgar/data/1384905/000119312513346260/d310247ds1.htm","https://www.sec.gov/Archives/edgar/data/1384905/000138490524000013/rng-20231231.htm"
"Riskified","RSKD","$4.81","$789,000,000","Sep 2024","$78,850,000","$315,400,000","9.71%","2.50","164,033,264","2021","2012","Eido Gal, Assaf Feldman, and Shaked Zin","Tel Aviv, Israel","-$13,520,000","-$54,080,000","44.28%","-17.15%","-$9,700,000","-$38,800,000","53.65%","-12.30%","$389,760,000","-13.48%","Qumra Capital, Pitango Venture Capital, Genesis Partners","$228 million","810","$389,400","Fraud prevention and chargeback protection solutions for e-commerce businesses.","","","http://www.riskified.com","http://ir.riskified.com","",""
"Rubrik","RBRK","$67.93","$5,917,000,000","Oct 2024","$236,180,000","$944,720,000","42.62%","6.26","87,104,372","2024","2014","Bipul Sinha, Arvind Jain, Soham Mazumdar, Arvind Nithrakashyap","Palo Alto, CA","-$116,090,000","-$464,360,000","-104.55%","-49.15%","-$130,910,000","-$523,640,000","-51.75%","-55.43%","$631,980,000","–","Lightspeed Venture Partners, Greylock Partners, Bain Capital Ventures","$550 million","3900","$242,200","Cloud data management platform that simplifies data protection, recovery, and management across hybrid environments.","","","http://www.rubrik.com","http://ir.rubrik.com","https://www.sec.gov/Archives/edgar/data/1943896/000119312524083525/d359771ds1.htm",""
"Rumble","RUM","$12.68","$3,601,000,000","Sep 2024","$25,060,000","$100,240,000","39.34%","35.92","283,990,536","2021","2016","Nikola Mrkšić, Adam Cann","San Francisco, California, United States","-$29,690,000","-$118,760,000","25.31%","-118.48%","-$31,540,000","-$126,160,000","-8.68%","-125.86%","$131,990,000","-50.57%","Sequoia Capital, Accel Partners","$60 million","70","$1,432,000","Video hosting, sharing, and monetization for content creators and businesses.","","","http://www.rumble.com","http://investors.rumble.com","https://www.sec.gov/Archives/edgar/data/1830081/000121390021005460/fs2021_cfacqcorp6.htm","https://www.sec.gov/Archives/edgar/data/1830081/000121390024026599/ea0202455-10k_rumble.htm"
"Sabre","SABR","$3.74","$1,443,000,000","Sep 2024","$764,710,000","$3,058,840,000","3.28%","0.47","385,828,877","2014","1960","American Airlines","Ventura, California, United States","$109,960,000","$439,840,000","25.10%","14.38%","-$62,820,000","-$251,280,000","69.84%","-8.21%","$669,300,000","10.11%","N/A","N/A","9000","$339,900","Technology solutions for the travel and tourism industry, including global distribution systems, airline and hospitality software, and travel management solutions.","","","http://www.sabre.com","http://investors.sabre.com","https://www.sec.gov/Archives/edgar/data/1597033/000119312514015201/d652688ds1.htm","https://www.sec.gov/Archives/edgar/data/1597033/000159703324000020/sabr-20231231.htm"
"Salesforce","CRM","$344.43","$329,620,000,000","Oct 2024","$9,440,000,000","$37,760,000,000","8.30%","8.73","957,001,423","2004","1999","Marc Benioff, Parker Harris, Dave Moellenhoff, Frank Dominguez","San Francisco, California, United States","$2,760,000,000","$11,040,000,000","14.27%","29.24%","$1,530,000,000","$6,120,000,000","24.75%","16.21%","$12,760,000,000","7.54%","Sequoia Capital","$64 million","80300","$470,200","Customer relationship management (CRM) software with a focus on enterprise. One of the first successful SaaS companies","","","http://www.salesforce.com","http://investor.salesforce.com","https://www.sec.gov/Archives/edgar/data/1108524/000119312503096073/ds1.htm","https://www.sec.gov/Archives/edgar/data/1108524/000110852424000005/crm-20240131.htm"
"Samsara","IOT","$45.55","$25,563,000,000","Nov 2024","$321,980,000","$1,287,920,000","35.55%","19.85","561,207,464","2021","2015","Sanjit Biswas, John Bicket, and John Sleiter","San Francisco, California, United States","-$37,000,000","-$148,000,000","20.18%","-11.49%","-$37,810,000","-$151,240,000","16.97%","-11.74%","$671,910,000","1.84%","Andreessen Horowitz, General Catalyst, Tiger Global Management","$930 million","2360","$545,700","Fleet management and industrial IoT solutions, including GPS tracking, real-time monitoring, and data analytics.","","","http://www.samsara.com","http://investors.samsara.com","https://www.sec.gov/Archives/edgar/data/1642896/000119312521334578/d261594ds1.htm","https://www.sec.gov/Archives/edgar/data/1642896/000164289624000016/iot-20240203.htm"
"Semrush","SEMR","$12.32","$1,807,000,000","Sep 2024","$97,410,000","$389,640,000","23.75%","4.64","146,672,078","2021","2008","Oleg Shchegolev, Dmitry Melnikov","Boston, Massachusetts, United States","$3,940,000","$15,760,000","-7.64%","4.04%","$1,090,000","$4,360,000","-74.05%","1.12%","$240,560,000","4.56%","Greycroft, e.ventures, Siguler Guff & Company","$40 million","1380","$282,300","Tools for SEO, content marketing, social media marketing, digital advertising, and competitive website research.","","","http://www.semrush.com","http://investors.semrush.com","https://www.sec.gov/Archives/edgar/data/1831840/000162828021003658/semrushforms-1.htm","https://www.sec.gov/Archives/edgar/data/1831840/000162828024009657/semr-20231231.htm"
"SentinelOne","S","$22.69","$7,291,000,000","Oct 2024","$210,650,000","$842,600,000","28.31%","8.65","321,330,983","2021","2013","Tomer Weingarten, Almog Cohen, Ehud Shamir, and Itay Yanovski","Mountain View, California, United States","-$78,400,000","-$313,600,000","-9.71%","-37.22%","-$78,360,000","-$313,440,000","-11.46%","-37.20%","$660,260,000","-17.26%","Insight Partners, Tiger Global Management, Third Point Ventures","$696 million","2310","$364,800","Endpoint security platform that uses AI to provide threat prevention, detection, and response.","","","http://www.sentinelone.com","http://investors.sentinelone.com","https://www.sec.gov/Archives/edgar/data/1583708/000162828021011624/sentineloneincs-1initialpu.htm","https://www.sec.gov/Archives/edgar/data/1583708/000158370824000016/s-20240131.htm"
"ServiceNow","NOW","$1,105.56","$227,745,000,000","Sep 2024","$2,800,000,000","$11,200,000,000","22.25%","20.33","205,999,674","2012","2004","Fred Luddy","Santa Clara, California, United States","$562,000,000","$2,248,000,000","49.07%","20.07%","$432,000,000","$1,728,000,000","78.51%","15.43%","$5,300,000,000","30.19%","JMI Equity, Sequoia Capital","$83.7 million","21200","$528,300","Solutions for IT service management, IT operations management, and IT business management.","","","http://www.servicenow.com","http://www.servicenow.com/company/investor-relations.html","https://www.sec.gov/Archives/edgar/data/1373715/000119312512280645/d301887ds1a.htm","https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/now-20231231.htm"
"Shopify","SHOP","$110.18","$204,434,000,000","Sep 2024","$2,160,000,000","$8,640,000,000","26.14%","23.66","1,855,454,710","2015","2006","Tobias Lütke, Daniel Weinand, Scott Lake","Ottawa, Canada","$291,000,000","$1,164,000,000","68.21%","13.47%","$828,000,000","$3,312,000,000","15.32%","38.33%","$4,900,000,000","-0.47%","OMERS Ventures, Bessemer Venture Partners, FirstMark Capital, Felicis Ventures","$122 million","12100","$714,000","E-commerce platform for the creation of online storefronts, management of inventory, processing payments, and tracking sales.","","","http://www.shopify.com","http://investors.shopify.com","",""
"Similarweb","SMWB","$14.53","$1,187,000,000","Sep 2024","$64,710,000","$258,840,000","18.01%","4.59","81,693,049","2021","2007","Or Offer, Nir Cohen, and Shlomi Hod","Tel Aviv, Israel","$934,000","$3,736,000","143.62%","1.44%","-$2,570,000","-$10,280,000","46.96%","-3.97%","$60,130,000","-10.80%","Viola Growth, Saban Ventures, Naspers, Insight Partners","$240 million","1160","$223,100","Insights and analytics on website traffic, audience behavior, and digital marketing strategies.","","","http://www.similarweb.com","http://ir.similarweb.com","",""
"Smartsheet","SMAR","$56.00","$7,840,000,000","Oct 2024","$286,870,000","$1,147,480,000","16.65%","6.83","140,000,000","2018","2005","Brent Frei, Mark Mader","Bellevue, Washington, United States","$4,140,000","$16,560,000","114.48%","1.44%","$1,320,000","$5,280,000","104.08%","0.46%","$760,920,000","33.79%","Sutter Hill Ventures, Insight Venture Partners, Madrona Venture Group","$113 million","3300","$347,700","Project management and productivity tool with features like task tracking, file sharing, and reporting.","","","http://www.smartsheet.com","http://investors.smartsheet.com","https://www.sec.gov/Archives/edgar/data/1366561/000162828018003554/smartsheets-1.htm","https://www.sec.gov/Archives/edgar/data/1366561/000136656124000062/smar-20240131.htm"
"Snowflake","SNOW","$163.06","$53,826,000,000","Oct 2024","$942,090,000","$3,768,360,000","28.32%","14.28","330,099,350","2020","2012","Benjamin Christian, Thierry Cruanes, Marcin Zukowski","San Mateo, California, United States","-$316,010,000","-$1,264,040,000","-35.60%","-33.54%","-$324,280,000","-$1,297,120,000","-51.35%","-34.42%","$4,160,000,000","17.15%","Sequoia Capital, Sutter Hill Ventures, ICONIQ Capital","$1.4 billion.","1430","$2,635,200","Data warehousing platform for large amounts of data and machine learning enablement.","","","http://www.snowflake.com","http://investors.snowflake.com","https://www.sec.gov/Archives/edgar/data/1640147/000162828020013010/snowflakes-1.htm","https://www.sec.gov/Archives/edgar/data/1640147/000164014724000101/snow-20240131.htm"
"SolarWinds","SWI","$14.44","$2,463,000,000","Sep 2024","$200,020,000","$800,080,000","5.50%","3.08","170,567,867","2018","1999","Donald Yonce, David Yonce, and Eugene Kim","Austin, Texas, United States","$72,840,000","$291,360,000","21.99%","36.42%","$12,570,000","$50,280,000","496.28%","6.28%","$199,190,000","-15.31%","Silver Lake Partners, Thoma Bravo","$20 million","2400","$333,400","Network management software for IT professionals to monitor, troubleshoot, and optimize their networks for performance and security.","","","http://www.solarwinds.com","http://investors.solarwinds.com","https://www.sec.gov/Archives/edgar/data/1739942/000162828018012025/solarwindss-1.htm","https://www.sec.gov/Archives/edgar/data/1739942/000173994224000020/swi-20231231.htm"
"SoundHound AI","SOUN","$20.24","$7,484,000,000","Sep 2024","$25,090,000","$100,360,000","89.13%","74.57","369,762,846","2022","2005","Keyvan Mohajer, Majid Emami","Santa Clara, California, United States","-$33,330,000","-$133,320,000","-138.08%","-132.84%","-$21,750,000","-$87,000,000","-7.69%","-86.69%","$135,610,000","41.04%","Khosla Ventures, NVIDIA, Samsung Catalyst Fund","$215 million","450","$223,000","Voice recognition technology to identify songs, provide lyrics, and offer music recommendations.","","","http://www.soundhound.com","http://investors.soundhound.com","https://www.sec.gov/Archives/edgar/data/1840856/000121390021009092/fs12021_archimedes.htm","https://www.sec.gov/Archives/edgar/data/1840856/000184085624000013/soun-20231231.htm"
"Spok Holdings","SPOK","$15.96","$324,000,000","Sep 2024","$34,870,000","$139,480,000","-1.58%","2.32","20,300,752","2002","1965","Vincent D. Kelly","Springfield, Virginia, United States","$6,360,000","$25,440,000","-15.83%","18.24%","$3,660,000","$14,640,000","-17.77%","10.50%","$27,830,000","1.94%","N/A","N/A","140","$996,300","Communication solutions for healthcare organizations, including secure messaging, call center management, and emergency notification systems.","","","http://www.spok.com","http://investors.spok.com","","https://www.sec.gov/Archives/edgar/data/1289945/000128994524000010/spok-20231231.htm"
"Spotify","SPOT","$461.64","$92,701,000,000","Sep 2024","$4,470,000,000","$17,880,000,000","18.80%","5.18","200,807,989","2018","2006","Daniel Ek, Martin Lorentzon","Stockholm, Sweden","$527,330,000","$2,109,320,000","592.65%","11.80%","$335,880,000","$1,343,520,000","361.54%","7.51%","$6,250,000,000","60.69%","Sequoia Capital, Technology Crossover Ventures, Accel Partners","$2.6 billion","8700","$2,055,200","B2C music streaming platform with vast library of songs, playlist functionality, discovery tools for new music.","","","http://www.spotify.com","http://investors.spotify.com","",""
"Sprinklr","CXM","$8.95","$2,277,000,000","Oct 2024","$200,690,000","$802,760,000","7.71%","2.84","254,413,408","2021","2009","Ragy Thomas","New York City, New York, United States","$9,290,000","$37,160,000","-36.53%","4.63%","$10,460,000","$41,840,000","-38.38%","5.21%","$476,640,000","-27.39%","Battery Ventures, ICONIQ Capital, Silver Lake","$228 million","3600","$223,000","Enterprise social media management, customer interaction management, and marketing campaigns.","","","http://www.sprinklr.com","http://investors.sprinklr.com","https://www.sec.gov/Archives/edgar/data/1569345/000119312521177215/d58050ds1.htm","https://www.sec.gov/Archives/edgar/data/1569345/000156934524000019/cxm-20240131.htm"
"Sprout Social","SPT","$32.41","$1,860,000,000","Sep 2024","$102,640,000","$410,560,000","20.00%","4.53","57,389,695","2019","2010","Justyn Howard, Aaron Rankin, Gil Lara","Chicago, Illinois, United States","-$14,370,000","-$57,480,000","22.18%","-14.00%","-$17,090,000","-$68,360,000","25.75%","-16.65%","$91,510,000","-19.04%","Goldman Sachs, New Enterprise Associates, Future Fund, Lightbank","$111 million","1190","$345,000","Social media management platform that helps businesses manage, schedule, and analyze their social media content.","","","http://www.sproutsocial.com","http://investors.sproutsocial.com","https://www.sec.gov/Archives/edgar/data/1517375/000162828019012563/sproutsocials-1.htm","https://www.sec.gov/Archives/edgar/data/1517375/000151737524000020/spt-20231231.htm"
"SPS Commerce","SPSC","$189.95","$7,136,000,000","Sep 2024","$163,690,000","$654,760,000","20.66%","10.90","37,567,781","2010","1987","Gary W. Anderson, Roger Anderson","Minneapolis, Minnesota, United States","$36,670,000","$146,680,000","26.19%","22.40%","$23,460,000","$93,840,000","39.29%","14.33%","$205,770,000","-14.02%","Battery Ventures, Split Rock Partners","$23 million","2320","$282,200","Supply chain management software for streamlined operations and improving collaboration with trading partners.","","","http://www.spscommerce.com","http://investors.spscommerce.com","https://www.sec.gov/Archives/edgar/data/1092699/000095012309068120/c54716sv1.htm","https://www.sec.gov/Archives/edgar/data/1092699/000109269924000012/spsc-20231231.htm"
"SS&C Technologies","SSNC","$76.74","$19,007,000,000","Sep 2024","$1,470,000,000","$5,880,000,000","7.31%","3.23","247,680,480","2010","1986","Bill Stone","Windsor, Connecticut, United States","$496,400,000","$1,985,600,000","4.51%","33.77%","$164,400,000","$657,600,000","5.38%","11.18%","$694,700,000","55.21%","The Carlyle Group, Stone Point Capital","N/A","28600","$205,600","Solutions for financial services firms, including portfolio management, trading, accounting, and reporting.","","","http://www.ssctech.com","http://investor.ssctech.com","https://www.sec.gov/Archives/edgar/data/1402436/000095013507003645/b65660s1sv1.htm","https://www.sec.gov/Archives/edgar/data/1402436/000095017024022080/ssnc-20231231.htm"
"Synopsys","SNPS","$500.16","$77,314,000,000","Oct 2024","$1,640,000,000","$6,560,000,000","2.30%","11.79","154,578,535","1992","1986","Aart de Geus, David Gregory and Bill Krieger","Sunnyvale, California, United States","$464,090,000","$1,856,360,000","-2.14%","28.30%","$1,110,000,000","$4,440,000,000","219.05%","67.68%","$4,050,000,000","154.65%","Green Pine Capital Partners, New Enterprise Associates","$300 million","20300","$323,200","Electronic design automation (EDA) software that streamlines the design, verification, and manufacturing processes for semiconductor and electronic systems.","","","http://www.synopsys.com","http://investor.synopsys.com","","https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/snps-20231031.htm"
"TechTarget","TTGT","$18.46","$540,000,000","Sep 2024","$62,740,000","$250,960,000","5.62%","2.15","29,252,438","2007","1999","Greg Strakosch, Don Hawk","Newton, Massachusetts, United States","$6,010,000","$24,040,000","16.71%","9.58%","-$15,660,000","-$62,640,000","-56.46%","-24.96%","$355,830,000","14.97%","Technology Crossover Ventures, Polaris Venture Partners","$70 million","1050","$239,000","Platform for targeted marketing, sales, and audience intelligence.","","","http://www.techtarget.com","http://investor.techtarget.com","https://www.sec.gov/Archives/edgar/data/1293282/000104746907000760/a2175858zs-1.htm","https://www.sec.gov/Archives/edgar/data/1293282/000095017024022035/ttgt-20231231.htm"
"Tenable","TENB","$41.34","$4,966,000,000","Sep 2024","$227,090,000","$908,360,000","12.68%","5.47","120,125,786","2018","2002","Ron Gula, Jack Huffard, Renaud Deraison, and Marcus Ranum","Columbia, Maryland, United States","$6,850,000","$27,400,000","131.24%","3.02%","-$9,210,000","-$36,840,000","40.82%","-4.06%","$548,450,000","-20.86%","Accel Partners, Insight Venture Partners","$300 million","1990","$456,500","Vulnerability management solutions to help organizations identify and address cybersecurity risks.","","","http://www.tenable.com","http://investors.tenable.com","https://www.sec.gov/Archives/edgar/data/1660280/000119312518209705/d548092ds1.htm","https://www.sec.gov/Archives/edgar/data/1660280/000166028024000033/tenb-20231231.htm"
"The Trade Desk","TTD","$123.96","$61,183,000,000","Sep 2024","$628,020,000","$2,512,080,000","27.32%","24.36","493,570,507","2016","2009","Jeff Green, Dave Pickles","Ventura, California, United States","$129,240,000","$516,960,000","122.03%","20.58%","$94,160,000","$376,640,000","139.27%","14.99%","$1,730,000,000","13.79%","Hillhouse Capital Group, Wellington Management Company","$20 million","2900","$866,200","Demand-side platform for digital advertising, offering features like real-time bidding and audience targeting.","","","http://www.thetradedesk.com","http://investors.thetradedesk.com","https://www.sec.gov/Archives/edgar/data/1671933/000104746916015272/a2229540zs-1a.htm","https://www.sec.gov/Archives/edgar/data/1671933/000167193324000014/ttd-20231231.htm"
"Thryv","THRY","$14.15","$607,000,000","Sep 2024","$179,850,000","$719,400,000","-2.16%","0.84","42,897,527","2020","2019","Joe Walsh","Dallas, Texas, United States","$5,460,000","$21,840,000","200.46%","3.04%","-$96,070,000","-$384,280,000","-255.21%","-53.42%","$12,450,000","-15.15%","TPG Capital, Vista Equity Partners","$1.6 billion","3050","$235,900","Operations management, including customer communication, online presence, appointment scheduling, and payment processing for SMBs.","","","http://www.thryv.com","http://investor.thryv.com","https://www.sec.gov/Archives/edgar/data/1556739/000114036120019569/nt10007762x12_s1.htm","https://www.sec.gov/Archives/edgar/data/1556739/000155673924000015/thry-20231231.htm"
"Toast","TOST","$38.38","$21,800,000,000","Sep 2024","$1,300,000,000","$5,200,000,000","26.45%","4.19","568,004,169","2021","2015","Steve Fredette, Aman Narang, Jonathan Grimm","Boston, Massachusetts, United States","$46,000,000","$184,000,000","193.88%","3.54%","$56,000,000","$224,000,000","280.65%","4.31%","$1,270,000,000","23.50%","T. Rowe Price, Tiger Global Management, Bessemer Venture Partners","$910 million","4700","$1,106,400","POS platform for restaurants to manage orders, payments, menus, and employee operations.","","","http://www.toasttab.com","http://investors.toasttab.com","https://www.sec.gov/Archives/edgar/data/1650164/000119312521258447/d166297ds1.htm","https://www.sec.gov/Archives/edgar/data/1650164/000165016424000084/tost-20231231.htm"
"Twilio","TWLO","$111.38","$17,084,000,000","Sep 2024","$1,130,000,000","$4,520,000,000","9.67%","3.78","153,384,809","2016","2008","Jeff Lawson, Evan Cooke, John Wolthuis","San Francisco, California, United States","$49,590,000","$198,360,000","267.86%","4.39%","-$9,730,000","-$38,920,000","93.14%","-0.86%","$2,700,000,000","-30.05%","Union Square Ventures, Fidelity Investments, T. Rowe Price, Bessemer Venture Partners","$233 million","3630","$1,245,200","Cloud communications platform to integrate messaging, voice, and video capabilities into applications.","","","http://www.twilio.com","http://investors.twilio.com","https://www.sec.gov/Archives/edgar/data/1447669/000104746916013448/a2227414zs-1.htm","https://www.sec.gov/Archives/edgar/data/1447669/000144766924000034/twlo-20231231.htm"
"Udemy","UDMY","$7.98","$1,164,000,000","Sep 2024","$195,420,000","$781,680,000","5.79%","1.49","145,864,662","2021","2010","Eren Bali, Oktay Caglar, Gagan Biyani","San Francisco, California, United States","-$16,830,000","-$67,320,000","14.93%","-8.61%","-$25,270,000","-$101,080,000","-50.72%","-12.93%","$357,110,000","-25.52%","Bessemer Venture Partners, Insight Partners, Norwest Venture Partners","$223 million","1750","$446,700","Online learning platform that offers a wide range of courses on various subjects, and enables course creators to reach their audience.","","","http://www.udemy.com","http://investors.udemy.com","https://www.sec.gov/Archives/edgar/data/1607939/000119312521291460/d163445ds1.htm","https://www.sec.gov/Archives/edgar/data/1607939/000160793924000037/udmy-20231231.htm"
"UiPath","PATH","$13.13","$7,216,000,000","Oct 2024","$354,650,000","$1,418,600,000","8.82%","5.09","549,581,112","2021","2005","Daniel Dines, Marius Tirca, and Marius Ionescu","New York, United States","-$35,790,000","-$143,160,000","28.99%","-10.09%","-$10,660,000","-$42,640,000","66.21%","-3.01%","$1,570,000,000","-13.66%","Accel, Alkeon Capital Management, Coatue Management, Dragoneer Investment Group, IVP (Institutional Venture Partners), Sequoia Capital, Tiger Global Management","$1.2 billion","3960","$358,200","Platform for robotic process automation (RPA), allowing customers to automate repetitive tasks and streamline workflows.","","","http://www.uipath.com","http://ir.uipath.com","https://www.sec.gov/Archives/edgar/data/1734722/000119312521094920/d98556ds1.htm","https://www.sec.gov/Archives/edgar/data/1734722/000173472224000011/path-20240131.htm"
"Upland Software","UPLD","$4.48","$123,000,000","Sep 2024","$66,690,000","$266,760,000","-10.02%","0.46","27,455,357","2014","2010","Tim Mattox, Craig Harris","Austin, Texas, United States","$10,500,000","$42,000,000","0.78%","15.74%","-$1,730,000","-$6,920,000","80.01%","-2.59%","$59,740,000","-75.07%","K1 Investment Management, Vista Equity Partners","$50 million","1050","$254,100","Enterprise project management software","","","http://www.uplandsoftware.com","http://investor.uplandsoftware.com","https://www.sec.gov/Archives/edgar/data/1505155/000119312514332241/d710680ds1.htm","https://www.sec.gov/Archives/edgar/data/1505155/000150515524000013/upld-20231231.htm"
"Varonis","VRNS","$45.36","$5,102,000,000","Sep 2024","$148,070,000","$592,280,000","21.06%","8.61","112,477,954","2014","2005","Yaki Faitelson, Ohad Korkus","New York City, United States","-$20,860,000","-$83,440,000","20.42%","-14.09%","-$18,330,000","-$73,320,000","20.35%","-12.38%","$878,960,000","67.39%","Accel Partners, Evergreen Venture Partners","$34 million","2250","$263,200","Data security and analytics, threat detection, and automation of data management.","","","http://www.varonis.com","http://ir.varonis.com","https://www.sec.gov/Archives/edgar/data/1361113/000119312513405885/d587800ds1.htm","https://www.sec.gov/Archives/edgar/data/1361113/000162828024003498/vrns-20231231.htm"
"Vertex","VERX","$53.51","$8,345,000,000","Sep 2024","$170,440,000","$681,760,000","17.52%","12.24","155,952,158","2020","2018","David DeWalt","King of Prussia, Pennsylvania, United States","$9,150,000","$36,600,000","384.64%","5.37%","$7,220,000","$28,880,000","312.44%","4.24%","$286,440,000","395.36%","Sequoia Capital, Accel","$131 million","1460","$467,000","Tax technology solutions, including tax compliance, tax determination, and tax data management.","","","http://www.vertexinc.com","http://ir.vertexinc.com","https://www.sec.gov/Archives/edgar/data/1806837/000104746920003952/a2241987zs-1.htm","https://www.sec.gov/Archives/edgar/data/1806837/000155837024002192/verx-20231231x10k.htm"
"Vimeo","VMEO","$6.96","$1,154,000,000","Sep 2024","$104,560,000","$418,240,000","-1.59%","2.76","165,804,598","2021","2004","Jake Lodwick, Zach Klein","New York City, United States","$7,810,000","$31,240,000","37.14%","7.47%","$9,280,000","$37,120,000","9.66%","8.88%","$324,780,000","11.78%","Highland Capital Partners, Thrive Capital","$134 million","1290","$324,200","Video-sharing platform that allows users to upload, share, and watch videos with customizable privacy settings.","","","http://www.vimeo.com","http://investors.vimeo.com","https://www.sec.gov/Archives/edgar/data/1837686/000110465921072526/tm2116929-1_s1.htm","https://www.sec.gov/Archives/edgar/data/1837686/000183768624000021/vmeo-20231231.htm"
"VTEX","VTEX","$5.81","$1,075,000,000","Sep 2024","$56,000,000","$224,000,000","10.60%","4.80","185,025,818","2021","1999","Geraldo Thomaz, Mariano Gomide de Faria, and Ricardo Piovan.","Rio de Janeiro, Brazil","$3,760,000","$15,040,000","247.91%","6.71%","$3,240,000","$12,960,000","236.69%","5.79%","$217,040,000","1.56%","SoftBank Group Corp, Gávea Investimentos, Constellation Software","$365 million","1400","$160,000","E-commerce platform with features like order management, inventory control, and customer relationship management.","","","http://www.vtex.com","http://www.investors.vtex.com","",""
"Weave Communications","WEAV","$16.01","$1,165,000,000","Sep 2024","$52,390,000","$209,560,000","20.31%","5.56","72,767,021","2021","2014","Brandon Rodman, Jared Rodman","Lehi, Utah, United States","-$4,260,000","-$17,040,000","20.41%","-8.13%","-$5,880,000","-$23,520,000","17.72%","-11.22%","$98,160,000","-17.12%","Kleiner Perkins, Bessemer Venture Partners","$200 million","840","$249,500","Communication platform with features like messaging, phone calls, and appointment scheduling.","","","http://www.getweave.com","http://investors.getweave.com","https://www.sec.gov/Archives/edgar/data/1609151/000162828021020169/weaves-1.htm","https://www.sec.gov/Archives/edgar/data/1609151/000160915124000021/weav-20231231.htm"
"Wix","WIX","$226.22","$12,402,000,000","Sep 2024","$444,670,000","$1,778,680,000","12.91%","6.97","54,822,739","2013","2006","Avishai Abrahami, Nadav Abrahami, Giora Kaplan","Tel Aviv, Israel","$33,410,000","$133,640,000","755.47%","7.51%","$26,780,000","$107,120,000","283.91%","6.02%","$961,190,000","4.80%","Benchmark Capital, Mangrove Capital Partners, Bessemer Venture Partners","$61 million","4730","$376,000","Website builder software (CMS) that allows for the creation of customized websites using drag-and-drop tools, templates, and various widgets and plugins.","","","http://www.wix.com","http://investors.wix.com","",""
"Workday","WDAY","$269.04","$71,565,000,000","Oct 2024","$2,160,000,000","$8,640,000,000","15.76%","8.28","266,001,338","2012","2005","David Duffield, Aneel Bhusri","Pleasanton, California, United States","$246,000,000","$984,000,000","56.69%","11.39%","$193,000,000","$772,000,000","69.30%","8.94%","$7,160,000,000","4.03%","Greylock Partners, New Enterprise Associates (NEA), T. Rowe Price","$250 million","18200","$474,700","Applications for human resources, finance, business planning, workforce management.","","","http://www.workday.com","http://investor.workday.com","https://www.sec.gov/Archives/edgar/data/1327811/000119312512375787/d385110ds1.htm","https://www.sec.gov/Archives/edgar/data/1327811/000132781124000044/wday-20240131.htm"
"Yext","YEXT","$6.40","$817,000,000","Oct 2024","$113,990,000","$455,960,000","12.68%","1.79","127,656,250","2017","2006","Howard Lerman, Brian Distelburger, Brent Metz","New York City, New York, United States","-$4,080,000","-$16,320,000","-332.54%","-3.58%","-$12,800,000","-$51,200,000","-2634.83%","-11.23%","$100,480,000","-44.84%","Sutter Hill Ventures, Institutional Venture Partners (IVP), W Capital Partners","$117 million","1240","$367,700","Online marketing platform with a focus on various directories and search engines.","","","http://www.yext.com","http://investors.yext.com","https://www.sec.gov/Archives/edgar/data/1614178/000104746917001510/a2231179zs-1.htm","https://www.sec.gov/Archives/edgar/data/1614178/000161417824000023/yext-20240131.htm"
